"PROJECT_CODE","YEAR","n","LM_P_","LM_P_CI_","TM_P_","TM_P_CI_","MT1_P_","MT1_P_CI_","MT2_P_","MT2_P_CI_","MT3_P_","MT3_P_CI_","MT4_P_","MT4_P_CI_","MT5_P_","MT5_P_CI_","MT6_P_","MT6_P_CI_","MT7_P_","MT7_P_CI_","MT8_P_","MT8_P_CI_","MT9_P_","MT9_P_CI_","MT10_P_","MT10_P_CI_","MM_P_","MM_P_CI_","TF_P_","TF_P_CI_","FT11_P_","FT11_P_CI_","FT12_P_","FT12_P_CI_","FT13_P_","FT13_P_CI_","MF_P_","MF_P_CI_"
"T04","1990",14,893456.000000,674240.000000,2714634.000000,1145882.000000,367594.000000,231783.000000,27407.000000,14211.000000,252402.000000,144292.000000,246053.000000,367349.000000,485748.000000,264227.000000,7750.000000,6287.000000,555628.000000,335093.000000,873.000000,1884.000000,336711.000000,227839.000000,434468.000000,296201.000000,1386954.000000,880071.000000,1423894.000000,597299.000000,986132.000000,435566.000000,146749.000000,124558.000000,291013.000000,449789.000000,437762.000000,471302.000000
"T04","1991",15,1379426.000000,453670.000000,2722308.000000,879693.000000,643596.000000,248516.000000,71119.000000,51313.000000,429132.000000,250265.000000,235579.000000,193205.000000,658112.000000,276080.000000,27310.000000,22899.000000,270388.000000,165065.000000,3188.000000,3901.000000,131374.000000,124655.000000,252510.000000,274972.000000,2064848.000000,584751.000000,1334746.000000,1092684.000000,485795.000000,350909.000000,364460.000000,233106.000000,484491.000000,666221.000000,848952.000000,827100.000000
"T04","1992",15,1978010.000000,1054687.000000,2775565.000000,1097301.000000,500421.000000,266369.000000,128979.000000,135164.000000,1111802.000000,796802.000000,236809.000000,282235.000000,354797.000000,194690.000000,26289.000000,23756.000000,129769.000000,71829.000000,4919.000000,5011.000000,71948.000000,42382.000000,209831.000000,175914.000000,2359097.000000,1118141.000000,1036498.000000,914538.000000,287743.000000,188991.000000,205512.000000,263785.000000,543243.000000,653735.000000,748755.000000,908911.000000
"T04","1993",16,848810.000000,363005.000000,1647532.000000,430628.000000,160693.000000,62162.000000,56081.000000,44996.000000,381374.000000,172219.000000,250663.000000,257450.000000,97484.000000,53539.000000,10371.000000,7935.000000,72614.000000,37864.000000,764.000000,1626.000000,59025.000000,33873.000000,558464.000000,334471.000000,956666.000000,372635.000000,1146183.000000,594572.000000,568171.000000,323143.000000,56957.000000,70873.000000,521055.000000,546596.000000,578012.000000,610110.000000
"T04","1994",16,356246.000000,156693.000000,1007104.000000,451486.000000,76263.000000,36340.000000,37896.000000,26761.000000,96974.000000,58677.000000,145112.000000,122008.000000,93707.000000,40168.000000,7596.000000,7119.000000,161944.000000,84781.000000,0.000000,0.000000,127473.000000,100886.000000,260137.000000,189157.000000,457549.000000,178694.000000,1028103.000000,697829.000000,643345.000000,524200.000000,95537.000000,81853.000000,289220.000000,284054.000000,384757.000000,329104.000000
"T04","1995",16,811734.000000,807143.000000,2096344.000000,1299465.000000,407845.000000,442563.000000,25375.000000,17641.000000,280966.000000,328395.000000,97549.000000,115199.000000,467226.000000,450383.000000,17070.000000,13533.000000,300063.000000,189964.000000,1535.000000,2233.000000,198207.000000,192995.000000,300509.000000,207961.000000,1296030.000000,1208021.000000,1538308.000000,945949.000000,675120.000000,424282.000000,706641.000000,738400.000000,156547.000000,169862.000000,863188.000000,805917.000000
"T04","1996",16,742974.000000,595718.000000,1456364.000000,1174485.000000,404402.000000,464286.000000,153657.000000,120413.000000,98166.000000,71768.000000,86748.000000,67535.000000,315854.000000,442751.000000,139048.000000,127264.000000,44989.000000,42121.000000,4603.000000,5195.000000,32054.000000,33620.000000,176841.000000,143114.000000,1197876.000000,1085032.000000,729750.000000,589474.000000,223512.000000,145814.000000,397337.000000,423627.000000,108900.000000,122216.000000,506237.000000,533304.000000
"T04","1997",16,478055.000000,211981.000000,1051879.000000,323965.000000,205916.000000,103966.000000,32414.000000,20200.000000,221664.000000,122734.000000,18061.000000,12686.000000,238003.000000,99369.000000,6545.000000,6737.000000,106308.000000,52384.000000,734.000000,1564.000000,87749.000000,42410.000000,134484.000000,81964.000000,722603.000000,251063.000000,494443.000000,345855.000000,188883.000000,91602.000000,205881.000000,208185.000000,99679.000000,148336.000000,305560.000000,316959.000000
"T04","1998",16,403196.000000,347716.000000,771087.000000,373615.000000,84605.000000,83910.000000,43956.000000,48596.000000,177811.000000,145367.000000,96824.000000,155903.000000,10740.000000,8510.000000,9391.000000,6718.000000,8445.000000,8751.000000,771.000000,1643.000000,16134.000000,12690.000000,320868.000000,244011.000000,423327.000000,355370.000000,477749.000000,320493.000000,399268.000000,303830.000000,32519.000000,65910.000000,45963.000000,89392.000000,78481.000000,155168.000000
"T04","1999",16,312049.000000,239298.000000,3074360.000000,2743906.000000,95783.000000,87670.000000,54917.000000,66443.000000,90501.000000,85489.000000,70848.000000,101501.000000,447906.000000,375323.000000,70998.000000,38421.000000,781883.000000,799277.000000,48411.000000,36800.000000,699162.000000,899596.000000,713951.000000,774801.000000,830953.000000,571333.000000,1804162.000000,1377638.000000,1237351.000000,1087752.000000,499701.000000,551434.000000,67110.000000,88769.000000,566811.000000,595051.000000
"T04","2000",16,480494.000000,261368.000000,1820868.000000,754144.000000,326411.000000,163929.000000,7274.000000,5495.000000,131399.000000,102465.000000,15410.000000,14157.000000,302284.000000,197468.000000,14547.000000,9296.000000,340058.000000,302275.000000,5375.000000,4122.000000,231376.000000,171868.000000,446734.000000,465002.000000,797324.000000,369838.000000,943271.000000,592957.000000,692520.000000,549354.000000,210296.000000,284597.000000,40455.000000,35725.000000,250751.000000,301589.000000
"T04","2001",16,504698.000000,318804.000000,3084224.000000,1995590.000000,247879.000000,204658.000000,78219.000000,93218.000000,128438.000000,111042.000000,50162.000000,60347.000000,236261.000000,193649.000000,19082.000000,16251.000000,339394.000000,282617.000000,5360.000000,6711.000000,470833.000000,528433.000000,1508596.000000,1358133.000000,760041.000000,481543.000000,2609066.000000,2353086.000000,2161815.000000,2321558.000000,141553.000000,121441.000000,305699.000000,378723.000000,447251.000000,437516.000000
"T04","2002",14,311822.000000,244971.000000,4101726.000000,2098934.000000,162225.000000,152347.000000,14715.000000,13370.000000,129041.000000,105413.000000,5841.000000,4980.000000,345779.000000,243635.000000,23747.000000,22487.000000,813172.000000,636434.000000,25088.000000,18176.000000,908731.000000,622672.000000,1673386.000000,1341852.000000,681348.000000,486573.000000,3185316.000000,1718798.000000,2750107.000000,1524651.000000,403665.000000,395925.000000,31544.000000,26648.000000,435209.000000,410903.000000
"T04","2003",16,358230.000000,201368.000000,3464914.000000,1726501.000000,259755.000000,140550.000000,18105.000000,12254.000000,66828.000000,63824.000000,13542.000000,17690.000000,521109.000000,254636.000000,32856.000000,18199.000000,769767.000000,524932.000000,36319.000000,49085.000000,861700.000000,644972.000000,884933.000000,579048.000000,912195.000000,417001.000000,1559741.000000,1081698.000000,1315229.000000,976196.000000,224989.000000,120899.000000,19523.000000,18890.000000,244512.000000,134582.000000
"T04","2004",16,868018.000000,460041.000000,3623284.000000,1875763.000000,544126.000000,349821.000000,116201.000000,139542.000000,163714.000000,112792.000000,43978.000000,63798.000000,666364.000000,421004.000000,56845.000000,55029.000000,1017773.000000,765616.000000,23602.000000,21620.000000,355266.000000,268073.000000,635416.000000,372663.000000,1591227.000000,846816.000000,3132939.000000,2526689.000000,1244052.000000,618088.000000,915781.000000,832021.000000,973106.000000,1557325.000000,1888886.000000,2164265.000000
"T04","2005",15,405890.000000,452079.000000,1809679.000000,1083062.000000,154430.000000,120157.000000,148867.000000,241713.000000,52999.000000,29252.000000,49594.000000,90693.000000,77356.000000,59450.000000,78159.000000,90949.000000,77870.000000,76127.000000,9179.000000,8967.000000,174394.000000,168057.000000,986832.000000,830606.000000,561404.000000,563068.000000,1209980.000000,840474.000000,985618.000000,829221.000000,49309.000000,58247.000000,175053.000000,300672.000000,224362.000000,356513.000000
"T04","2006",17,456127.000000,583967.000000,1865289.000000,1828893.000000,109388.000000,170060.000000,33389.000000,47741.000000,278470.000000,368853.000000,34880.000000,51027.000000,150610.000000,196955.000000,41192.000000,32447.000000,109120.000000,136647.000000,4725.000000,6876.000000,133238.000000,256829.000000,970276.000000,1274218.000000,647930.000000,767931.000000,966597.000000,1325638.000000,937529.000000,1319050.000000,23261.000000,28182.000000,5807.000000,10777.000000,29068.000000,36427.000000
"T04","2007",16,561046.000000,909757.000000,1143914.000000,1252423.000000,265346.000000,453699.000000,60319.000000,94753.000000,85489.000000,120358.000000,149892.000000,248615.000000,93117.000000,167463.000000,23724.000000,37267.000000,88172.000000,140637.000000,12626.000000,18897.000000,38953.000000,30119.000000,326276.000000,218980.000000,677887.000000,1109403.000000,2113093.000000,3767243.000000,603481.000000,604255.000000,1493354.000000,3149506.000000,16258.000000,34631.000000,1509612.000000,3184135.000000
"T04","2008",16,351461.000000,425347.000000,1281516.000000,787437.000000,121121.000000,109475.000000,81906.000000,152205.000000,90713.000000,80852.000000,57721.000000,107484.000000,68495.000000,64518.000000,57297.000000,73570.000000,156593.000000,258733.000000,31377.000000,43615.000000,87852.000000,124144.000000,528442.000000,377033.000000,477253.000000,554451.000000,806247.000000,404396.000000,575419.000000,341259.000000,102376.000000,154617.000000,128451.000000,228257.000000,230828.000000,310804.000000
"T04","2009",15,752945.000000,548314.000000,3195079.000000,2338396.000000,407545.000000,350391.000000,94559.000000,110513.000000,174381.000000,225173.000000,76460.000000,91913.000000,595071.000000,486048.000000,41828.000000,38539.000000,521901.000000,540652.000000,25213.000000,20303.000000,439944.000000,416672.000000,818177.000000,639940.000000,1389845.000000,995186.000000,2946561.000000,2007361.000000,1416060.000000,1161372.000000,766164.000000,933655.000000,764337.000000,886720.000000,1530501.000000,1167925.000000
"T04","2011",37,139263.000000,121689.000000,4447159.000000,1983355.000000,5197.000000,6087.000000,58694.000000,50001.000000,16490.000000,28348.000000,58882.000000,69668.000000,11644.000000,12028.000000,20388.000000,13122.000000,75052.000000,47981.000000,3767.000000,3388.000000,190619.000000,120393.000000,4005798.000000,1910055.000000,171294.000000,134713.000000,4337851.000000,2231297.000000,4089701.000000,2235938.000000,23951.000000,14710.000000,224199.000000,173013.000000,248151.000000,177539.000000
"T04","2012",37,80920.000000,55218.000000,4829149.000000,1796356.000000,5171.000000,5398.000000,42550.000000,29588.000000,0.000000,0.000000,33200.000000,29336.000000,108513.000000,49573.000000,14901.000000,10980.000000,715998.000000,333363.000000,5864.000000,7143.000000,2375372.000000,1218746.000000,1527582.000000,618024.000000,204334.000000,98702.000000,5300007.000000,2527127.000000,4637663.000000,2188235.000000,451559.000000,301311.000000,210785.000000,299303.000000,662344.000000,451927.000000
"T04","2013",37,192637.000000,105523.000000,3179046.000000,975058.000000,84195.000000,40633.000000,54993.000000,50885.000000,3228.000000,3190.000000,50221.000000,45297.000000,1027163.000000,428864.000000,70983.000000,59073.000000,688187.000000,286811.000000,28648.000000,19862.000000,390244.000000,156114.000000,778423.000000,353670.000000,1290782.000000,506258.000000,3133209.000000,1541356.000000,1175307.000000,465649.000000,1257665.000000,786220.000000,700237.000000,747885.000000,1957902.000000,1353766.000000
"T04","2017",38,124965.000000,132255.000000,1135943.000000,806870.000000,94084.000000,99611.000000,18087.000000,21887.000000,10175.000000,14247.000000,2619.000000,5303.000000,178944.000000,191967.000000,8326.000000,8364.000000,271027.000000,243605.000000,3452.000000,4651.000000,369070.000000,276694.000000,180159.000000,82114.000000,312234.000000,323315.000000,1136328.000000,1019282.000000,837256.000000,727616.000000,230463.000000,221778.000000,68610.000000,88768.000000,299072.000000,302103.000000
"T05","1990",24,0.000000,0.000000,8406909.000000,5347618.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3402140.000000,2963358.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","1991",17,0.000000,0.000000,4321853.000000,3683036.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,623962.000000,422262.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","1992",25,0.000000,0.000000,3519915.000000,2627080.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,783740.000000,718053.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","1993",15,0.000000,0.000000,3888960.000000,2786986.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2465220.000000,2491195.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","1994",17,0.000000,0.000000,7691041.000000,6782889.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2504370.000000,2204704.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","1995",24,0.000000,0.000000,5237347.000000,3281458.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,909126.000000,715131.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","1996",18,0.000000,0.000000,6743250.000000,4360052.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1250197.000000,1229102.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","1997",18,0.000000,0.000000,4721354.000000,2650767.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,488397.000000,386641.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","1998",22,0.000000,0.000000,1200587.000000,758395.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,400627.000000,305277.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","1999",19,0.000000,0.000000,3924726.000000,5203674.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1328941.000000,2045100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","2000",24,0.000000,0.000000,1056905.000000,601950.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,690203.000000,480045.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","2001",24,0.000000,0.000000,5274162.000000,5714424.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4869864.000000,5239724.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","2002",19,0.000000,0.000000,15732658.000000,17351538.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10001652.000000,10949242.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","2003",17,0.000000,0.000000,4538640.000000,4014458.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3531104.000000,4187076.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","2004",22,0.000000,0.000000,8185736.000000,4298470.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2730554.000000,3152065.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","2005",21,0.000000,0.000000,11915783.000000,11300835.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6902747.000000,10712637.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","2006",27,0.000000,0.000000,9429112.000000,4346765.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4944465.000000,2799115.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","2007",24,0.000000,0.000000,1341717.000000,701198.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,573207.000000,404781.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","2010",23,0.000000,0.000000,1819863.000000,2625747.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,203756.000000,155972.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T05","2012",23,0.000000,0.000000,2091708.000000,2022469.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1116756.000000,702687.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T06","1990",11,0.000000,0.000000,3230636.000000,2695324.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4048183.000000,2702146.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T06","1991",29,0.000000,0.000000,2267119.000000,1420647.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2138565.000000,1199315.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T06","1992",37,0.000000,0.000000,1795511.000000,606398.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1527021.000000,455774.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T06","1993",38,0.000000,0.000000,1203805.000000,433640.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,765142.000000,256815.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T06","1994",38,0.000000,0.000000,1110513.000000,484107.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,923926.000000,506303.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T06","1995",32,0.000000,0.000000,532765.000000,171825.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,354938.000000,130055.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T06","1997",39,0.000000,0.000000,362403.000000,158018.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,323443.000000,159290.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T06","1999",40,0.000000,0.000000,172686.000000,64516.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130231.000000,50243.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T06","2001",40,0.000000,0.000000,2060109.000000,784610.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2265440.000000,769155.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T06","2003",40,0.000000,0.000000,915333.000000,360036.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,941242.000000,393196.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T06","2005",40,0.000000,0.000000,649224.000000,291641.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,608167.000000,284636.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T06","2007",32,0.000000,0.000000,1412595.000000,423048.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1472856.000000,518408.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T06","2009",43,0.000000,0.000000,2156161.000000,883720.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1821312.000000,714539.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T06","2011",43,0.000000,0.000000,2687291.000000,1732997.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1690288.000000,835235.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T06","2013",43,0.000000,0.000000,7947986.000000,2332125.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7197168.000000,2213381.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T06","2014",41,0.000000,0.000000,2337652.000000,647317.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1823198.000000,500306.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"T06","2015",43,0.000000,0.000000,2091958.000000,882128.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1091229.000000,371458.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
